None,ticker,date,adj_close
0,AAPL,2015-01-02,103.86395724039
1,AAPL,2015-01-05,100.9379443592
2,AAPL,2015-01-06,100.94744440102
3,AAPL,2015-01-07,102.36295063251
4,AAPL,2015-01-08,106.29596794683
5,AAPL,2015-01-09,106.4099684487
6,AAPL,2015-01-12,103.78795690581
7,AAPL,2015-01-13,104.70946096255
8,AAPL,2015-01-14,104.31045920603
9,AAPL,2015-01-15,101.47944674306
10,AAPL,2015-01-16,100.69094327183
11,AAPL,2015-01-20,103.28445468924
12,AAPL,2015-01-21,104.07295816047
13,AAPL,2015-01-22,106.78047007976
14,AAPL,2015-01-23,107.33147250543
15,AAPL,2015-01-26,107.4454730073
16,AAPL,2015-01-27,103.68345644577
17,AAPL,2015-01-28,109.54498224997
18,AAPL,2015-01-29,112.95549726408
19,AAPL,2015-01-30,111.30248998705
20,AAPL,2015-02-02,112.69899613489
21,AAPL,2015-02-03,112.71799621853
22,AAPL,2015-02-04,113.58250002434
23,AAPL,2015-02-05,114.39000357921
24,AAPL,2015-02-06,113.42673941701
25,AAPL,2015-02-09,114.18018366269
26,AAPL,2015-02-10,116.37375551722
27,AAPL,2015-02-11,119.10141443198
28,AAPL,2015-02-12,120.60830292335
29,AAPL,2015-02-13,121.19961359718
30,AAPL,2015-02-17,121.91490876714
31,AAPL,2015-02-18,122.75895706769
32,AAPL,2015-02-19,122.50621944097
33,AAPL,2015-02-20,123.50286404444
34,AAPL,2015-02-23,126.84567680536
35,AAPL,2015-02-24,126.05408348395
36,AAPL,2015-02-25,122.83048658468
37,AAPL,2015-02-26,124.38029278625
38,AAPL,2015-02-27,122.5157567099
39,AAPL,2015-03-02,123.11660465266
40,AAPL,2015-03-03,123.37411091385
41,AAPL,2015-03-04,122.59205486136
42,AAPL,2015-03-05,120.56061657869
43,AAPL,2015-03-06,120.74182468841
44,AAPL,2015-03-09,121.25683721078
45,AAPL,2015-03-10,118.74853548147
46,AAPL,2015-03-11,116.58357543374
47,AAPL,2015-03-12,118.69131186788
48,AAPL,2015-03-13,117.87110673966
49,AAPL,2015-03-16,119.16817531451
50,AAPL,2015-03-17,121.16146452145
51,AAPL,2015-03-18,122.52529397883
52,AAPL,2015-03-19,121.59541025789
53,AAPL,2015-03-20,120.07421586312
54,AAPL,2015-03-23,121.32359809331
55,AAPL,2015-03-24,120.82766010881
56,AAPL,2015-03-25,117.67082409207
57,AAPL,2015-03-26,118.49102922029
58,AAPL,2015-03-27,117.54683959595
59,AAPL,2015-03-30,120.52246750296
60,AAPL,2015-03-31,118.67223733001
61,AAPL,2015-04-01,118.50056648922
62,AAPL,2015-04-02,119.52105426502
63,AAPL,2015-04-06,121.45711985837
64,AAPL,2015-04-07,120.17912582138
65,AAPL,2015-04-08,119.78809779514
66,AAPL,2015-04-09,120.70367561268
67,AAPL,2015-04-10,121.21868813505
68,AAPL,2015-04-13,120.98025641173
69,AAPL,2015-04-14,120.45570662043
70,AAPL,2015-04-15,120.9134955292
71,AAPL,2015-04-16,120.33172212431
72,AAPL,2015-04-17,118.97742993586
73,AAPL,2015-04-20,121.69555158169
74,AAPL,2015-04-21,121.03748002533
75,AAPL,2015-04-22,122.66835301283
76,AAPL,2015-04-23,123.66976625076
77,AAPL,2015-04-24,124.25153965566
78,AAPL,2015-04-27,126.51187239272
79,AAPL,2015-04-28,124.51858318578
80,AAPL,2015-04-29,122.68742755069
81,AAPL,2015-04-30,119.35892069317
82,AAPL,2015-05-01,122.98308288761
83,AAPL,2015-05-04,122.74465116429
84,AAPL,2015-05-05,119.97884317379
85,AAPL,2015-05-06,119.22539892811
86,AAPL,2015-05-07,119.95976863593
87,AAPL,2015-05-08,122.21990797794
88,AAPL,2015-05-11,120.97491596751
89,AAPL,2015-05-12,120.53916876386
90,AAPL,2015-05-13,120.67803325733
91,AAPL,2015-05-14,123.49363057323
92,AAPL,2015-05-15,123.3212470641
93,AAPL,2015-05-18,124.68116141395
94,AAPL,2015-05-19,124.56623907453
95,AAPL,2015-05-20,124.55666221291
96,AAPL,2015-05-21,125.8303848082
97,AAPL,2015-05-22,126.93172389435
98,AAPL,2015-05-26,124.13528030169
99,AAPL,2015-05-27,126.45766924422
100,AAPL,2015-05-28,126.20388241133
101,AAPL,2015-05-29,124.76735316852
102,AAPL,2015-06-01,125.0115631398
103,AAPL,2015-06-02,124.46089359672
104,AAPL,2015-06-03,124.61412338262
105,AAPL,2015-06-04,123.8862818996
106,AAPL,2015-06-05,123.20632472467
107,AAPL,2015-06-08,122.39229148708
108,AAPL,2015-06-09,122.02837074557
109,AAPL,2015-06-10,123.4265925419
110,AAPL,2015-06-11,123.14886355496
111,AAPL,2015-06-12,121.7889492051
112,AAPL,2015-06-15,121.54952766463
113,AAPL,2015-06-16,122.20075425471
114,AAPL,2015-06-17,121.91344840615
115,AAPL,2015-06-18,122.46890638003
116,AAPL,2015-06-19,121.24306809284
117,AAPL,2015-06-22,122.21033111633
118,AAPL,2015-06-23,121.65487314244
119,AAPL,2015-06-24,122.68917419726
120,AAPL,2015-06-25,122.10498563852
121,AAPL,2015-06-26,121.38672101712
122,AAPL,2015-06-29,119.26065773776
123,AAPL,2015-06-30,120.11778685264
124,AAPL,2015-07-01,121.24306809284
125,AAPL,2015-07-02,121.08983830694
126,AAPL,2015-07-06,120.66845639571
127,AAPL,2015-07-07,120.37157368553
