date,ANM,ANM_acf,ANM_alpha,ANM_beta,ANM_ese,ANM_gamma,ANM_lower,ANM_m,ANM_sqe,ANM_sse,ANM_upper,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,adj_close
2015-07-06,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.66845639571001
2015-07-07,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.37157368553001
2015-07-08,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.38359286049999
2015-07-09,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,114.98937745581999
2015-07-10,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.06355003542
2015-07-13,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.34284310068001
2015-07-14,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.29495879258002
2015-07-15,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,121.45375904845
2015-07-16,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,123.07224866201
2015-07-17,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,124.13528030168999
2015-07-20,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,126.48161139826999
2015-07-21,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,125.21746566459998
2015-07-22,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,119.92146118945
2015-07-23,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,119.86400001973999
2015-07-24,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,119.23192715291
2015-07-27,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.57513009286998
2015-07-28,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.15931865161001
2015-07-29,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.78582104848
2015-07-30,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.19205562812
2015-07-31,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,116.16733143491999
2015-08-03,116.1695747368212,-2.741225724851219,0.5,0.0,0.012293761357026867,0.5,111.95999317847665,1.0,7.514318474586092,7.514318474586092,123.19534783352556,116.16733143491999,-2.738982422950002,0.0,117.19205562812,7.502024713229065,7.502024713229065,117.19205562812,113.42834901196998
2015-08-04,113.4445200242415,-3.655378427381507,0.5,0.0,0.11796083717453953,0.5,109.76692471904116,1.0,13.361791447366098,20.87610992195219,122.02479024959561,113.42834901196998,-3.6392074151099933,0.0,116.16733143491999,13.243830610191559,20.745855323420624,116.16733143491999,109.78914159685999
2015-08-05,109.79968301807523,0.717300061804778,0.1,0.0,-0.015233845739636265,0.9,107.3772297347773,1.0,0.5145193786651383,21.390629300617327,119.49557802878276,109.78914159685999,0.7278414830200148,0.0,113.42834901196998,0.5297532244047746,21.2756085478254,113.42834901196998,110.51698307988
2015-08-06,110.51698307988,0.23942154046999065,1.0,0.0,0.0,0.0,102.98520320224065,1.0,0.05732267404102337,21.447951974658352,115.92882594861025,110.51698307988,0.23942154046999065,0.0,109.78914159685999,0.05732267404102337,21.332931221866424,109.78914159685999,110.75640462035
2015-08-07,110.75640462035,0.37518455487000324,0.0,0.0,0.0,1.0,104.93783011668327,1.0,0.14076345021300246,21.588715424871353,116.86916864507373,110.75640462035,0.37518455487000324,0.0,110.51698307988,0.14076345021300246,21.473694672079425,110.51698307988,111.13158917522
2015-08-10,111.13158917522,4.040449052420001,0.0,0.0,0.0,1.0,105.14940475394705,1.0,16.325228545201686,37.913943970073035,116.1374662573603,111.13158917522,4.040449052420001,0.0,110.75640462035,16.325228545201686,37.798923217281114,110.75640462035,115.17203822764
2015-08-11,115.17203822764,-5.993332761089988,1.0,0.0,0.0,0.0,105.36632005079551,1.0,35.92003758515454,73.83398155522758,117.58593269054714,115.17203822764,-5.993332761089988,0.0,111.13158917522,35.92003758515454,73.71896080243565,111.13158917522,109.17870546655001
2015-08-12,109.41194937460995,1.4502765304500542,0.0,0.0,-0.7309390521066126,0.96,107.56690278983007,1.0,2.103302014774247,75.93728357000182,121.90251987241976,109.17870546655001,1.6835204385099871,0.0,115.17203822764,2.8342410668808595,76.55320186931651,115.17203822764,110.86222590506
2015-08-13,110.73566166470098,0.039983189229005234,0.0,0.0,-0.005897622993855162,0.87,102.02518468782269,1.0,0.0015986554209224402,75.93888222542274,117.17367017798021,110.86222590506,-0.08658105113001113,0.0,109.17870546655001,0.007496278414777602,76.56069814773129,109.17870546655001,110.77564485392999
2015-08-14,110.76890340559504,0.785970908444952,0.0,0.0,0.010551717418457174,0.85,103.21620887494876,1.0,0.6177502689217831,76.55663249434453,117.57002115335031,110.77564485392999,0.7792294601100025,0.0,110.86222590506,0.6071985515033259,77.16789669923462,110.86222590506,111.55487431403999
2015-08-17,111.46877763285839,1.240510696161607,0.0,0.0,0.20619506930909792,0.89,103.5978561411184,1.0,1.5388667872913548,78.09549928163588,117.77964886986923,111.55487431403999,1.1544140149800057,0.0,110.77564485392999,1.332671717982257,78.50056841721687,110.77564485392999,112.70928832902
2015-08-18,112.51844188133298,-0.44408126055296293,0.0,0.0,-0.20592502871657112,0.85,103.23925571992281,1.0,0.19720816597430854,78.29270744761018,119.5716475904507,112.70928832902,-0.6349277082399851,0.0,111.55487431403999,0.40313319469087966,78.90370161190775,111.55487431403999,112.07436062078001
2015-08-19,112.14974972518004,-1.5087865063300399,0.0,0.0,0.2218086098239085,0.77,106.43920221850227,1.0,2.2764367216836074,80.56914416929379,118.50190120159161,112.07436062078001,-1.4333974019300086,0.0,112.70928832902,2.054628111859699,80.95832972376745,112.70928832902,110.64096321885
2015-08-20,110.9879841153059,-2.6173684592459097,0.0,0.0,1.6961395955887797,0.77,106.3203437299848,1.0,6.850617651455307,87.4197618207491,117.82938911122277,110.64096321885,-2.2703475627900076,0.0,112.07436062078001,5.1544780558665275,86.11280777963398,112.07436062078001,108.37061565606
2015-08-21,108.88500129402192,-7.14264610729191,0.8,0.0,7.083556564729683,0.0,104.59062018265745,1.0,51.01739341401227,138.43715523476138,117.26303091314196,108.37061565606,-6.628260469329987,0.0,110.64096321885,43.933836849282585,130.04664462891657,110.64096321885,101.74235518673001
2015-08-24,101.87584010016546,-2.673195746386469,0.0,0.0,0.6958443834899661,0.98,101.12486437575167,1.0,7.14597549849871,145.58313073326008,117.23816578864503,101.74235518673001,-2.539710832951016,0.0,108.37061565606,6.450131115008744,136.4967757439253,108.37061565606,99.202644353779
2015-08-25,99.202644353779,0.5964472410719992,1.0,0.0,0.0,0.0,93.85522916370837,1.0,0.3557493113823995,145.93888004464247,109.73555252279179,99.202644353779,0.5964472410719992,0.0,101.74235518673001,0.3557493113823995,136.8525250553077,101.74235518673001,99.79909159485099
2015-08-26,99.79909159485099,5.723969490929022,1.0,0.0,0.0,0.0,91.27197187811369,1.0,32.76382673308625,178.70270677772874,108.00231453809104,99.79909159485099,5.723969490929022,0.0,99.202644353779,32.76382673308625,169.61635178839396,99.202644353779,105.52306108578001
2015-08-27,105.52306108578001,3.1072977236499923,0.0,0.0,0.0,1.0,90.64176935904213,1.0,9.655299143400423,188.35800592112915,108.48098833918975,105.52306108578001,3.1072977236499923,0.0,99.79909159485099,9.655299143400423,179.27165093179437,99.79909159485099,108.63035880943
2015-08-28,108.63035880943,0.3559443212899822,0.0,0.0,0.0,1.0,95.76940675094448,1.0,0.12669635985858607,188.48470228098773,115.3933746962997,108.63035880943,0.3559443212899822,0.0,105.52306108578001,0.12669635985858607,179.39834729165295,105.52306108578001,108.98630313071999
2015-08-31,108.98630313071997,-0.5098661899499746,0.0,0.0,-1.4488410471358293e-14,1.0,99.37064358311147,1.0,0.2599635316541036,188.74466581264184,117.35014243701201,108.98630313071999,-0.5098661899499888,0.0,108.63035880943,0.25996353165411806,179.65831082330706,108.63035880943,108.47643694077
2015-09-01,108.47643694077,-4.848538862910004,1.0,0.0,0.0,0.0,98.97358838334118,1.0,23.508329105148636,212.2529949177905,118.45355810032102,108.47643694077,-4.848538862910004,0.0,108.98630313071999,23.508329105148636,203.1666399284557,108.98630313071999,103.62789807786
2015-09-02,103.62789807786,4.444493957670019,1.0,0.0,0.0,0.0,99.24545035217896,1.0,19.75352653976531,232.0065214575558,116.20273099772301,103.62789807786,4.444493957670019,0.0,108.47643694077,19.75352653976531,222.92016646822103,108.47643694077,108.07239203553002
2015-09-03,108.11886765165491,-1.941638624054903,0.5,0.0,0.1783177197954986,0.5,94.07914330540065,1.0,3.7699605464218173,235.77648200397763,114.25950955006331,108.07239203553002,-1.8951630079300088,0.0,103.62789807786,3.5916428266263187,226.51180929484735,103.62789807786,106.1772290276
2015-09-04,106.2133933587198,-1.0943771781797835,0.0,0.0,0.07784697843793342,0.98,99.07279544023157,1.0,1.1976614081207457,236.97414341209839,118.11158712719158,106.1772290276,-1.0582128470599912,0.0,108.07239203553002,1.1198144296828123,227.63162372453016,108.07239203553002,105.11901618054002
2015-09-08,105.12169624248314,2.921835442666861,0.5,0.0,-0.015668582679944976,0.5,95.84648570507467,1.0,8.537122354024252,245.51126576612265,114.86433720707453,105.11901618054002,2.9245155046099853,0.0,106.1772290276,8.552790936704197,236.18441466123434,106.1772290276,108.04353168515
2015-09-09,108.06383463558548,-2.098248177395476,0.5,0.0,0.0847890476976021,0.5,96.34819615405236,1.0,4.402645413943437,249.9139111800661,113.96776848498506,108.04353168515,-2.077945226959997,0.0,105.11901618054002,4.3178563662458345,240.50227102748016,105.11901618054002,105.96558645819
2015-09-10,105.97577174688716,2.3178829748428456,0.5,0.0,-0.047320354635849604,0.5,99.81265302660358,1.0,5.37258148506632,255.2864926651324,116.4148216766453,105.96558645819,2.328068263540004,0.0,108.04353168515,5.419901839702169,245.92217286718233,108.04353168515,108.29365472173001
2015-09-11,108.30632880137223,1.5650250741577878,0.5,0.0,-0.03983113715868436,0.5,97.03963453736863,1.0,2.449303482742589,257.735796147875,114.19128123865478,108.29365472173001,1.5776991538000118,0.0,105.96558645819,2.4891346199012734,248.4113074870836,105.96558645819,109.87135387553002
2015-09-14,109.87700752363592,1.052559198964076,0.5,0.0,-0.011933562380058715,0.5,98.27826298910458,1.0,1.1078808673238971,258.8436770151989,116.51069162141354,109.87135387553002,1.0582128470699814,0.0,108.29365472173001,1.1198144297039558,249.53112191678755,108.29365472173001,110.9295667226
2015-09-15,110.93208745212361,0.9306305992463848,0.5,0.0,-0.0046980901315217816,0.5,99.87207013395572,1.0,0.8660733122536852,259.7097503274526,119.94451947807477,110.9295667226,0.9331513287699948,0.0,109.87135387553002,0.870771402385207,250.40189331917276,109.87135387553002,111.86271805137
2015-09-16,111.86466986110364,0.12310970855638459,0.5,0.0,-0.000484383016168247,0.5,102.33211802734665,1.0,0.015156000340837953,259.7249063277934,119.18894700889581,111.86271805137,0.12506151829002476,0.0,110.9295667226,0.0156403833570062,250.41753370252977,110.9295667226,111.98777956966002
2015-09-17,111.98781344094475,-2.3954429523647462,0.5,0.0,0.00016227231331455982,0.5,102.8597091010471,1.0,5.738146938033932,265.46305326582734,122.07017778805076,111.98777956966002,-2.395409081080018,0.0,111.86271805137,5.737984665720617,256.1555183682504,111.86271805137,109.59237048858
2015-09-18,109.60518024609229,-0.46495524671229305,0.5,0.0,0.01174783804137608,0.5,104.43644138147752,1.0,0.21618338144528929,265.6792366472726,120.15805630585088,109.59237048858,-0.4521454892000065,0.0,111.98777956966002,0.2044355434039132,256.3599539116543,111.98777956966002,109.14022499938
2015-09-21,109.22063876928769,1.6127267853923115,0.4,0.0,-0.26583725567978966,0.49,102.6816607757907,1.0,2.600887684321819,268.28012433159444,117.2068971476347,109.14022499938,1.6931405553000047,0.0,109.59237048858,2.8667249400016086,259.22667885165595,109.59237048858,110.83336555468
2015-09-22,110.6915343186097,-1.5994099031896951,0.5,0.0,-0.47380866663018484,0.41000000000000003,101.2060954632281,1.0,2.55811203842127,270.8382363700157,117.578274887047,110.83336555468,-1.7412411392599978,0.0,109.14022499938,3.031920705051455,262.2585995567074,109.14022499938,109.09212441542
2015-09-23,109.30935748920771,0.6678176710322674,0.4,0.0,-0.3373343791634357,0.46,103.65626356603832,1.0,0.44598044174296175,271.28421681175865,117.58124473466629,109.09212441542,0.8850507448199778,0.0,110.83336555468,0.7833148209063975,263.0419143776138,110.83336555468,109.97717516023998
2015-09-24,109.83668820122767,0.7946549008323416,0.30000000000000004,0.0,0.20354071531179846,0.23,103.87288663116361,1.0,0.6314764114168586,271.91569322317554,115.42811716645984,109.97717516023998,0.6541679418200346,0.0,109.09212441542,0.42793569610506016,263.4698500737189,109.09212441542,110.63134310206001
2015-09-25,110.26527527101841,0.08708444409160165,0.30000000000000004,0.0,-0.07024802979135175,0.24,104.20640376074061,1.0,0.007583700402743294,271.92327692357827,116.37134034175291,110.63134310206001,-0.2789833869500029,0.0,109.97717516023998,0.07783173019409505,263.54768180391295,109.97717516023998,110.35235971511001
2015-09-28,110.32041208966636,-2.1518188862263656,0.30000000000000004,0.0,-0.13851165837095003,0.26,104.58471944601695,1.0,4.630324519120476,276.5536014426987,115.85001632762898,110.35235971511001,-2.183766511670015,0.0,110.63134310206001,4.768836177491426,268.3165179814044,110.63134310206001,108.16859320344
2015-09-29,109.19626557555182,-4.279271847631819,0.30000000000000004,0.0,7.739268396732328,0.22,104.06549135918212,1.0,18.312167545934237,294.86576898863296,115.79809547600061,108.16859320344,-3.2515994755199955,0.0,110.35235971511001,10.572899149201909,278.8894171306063,110.35235971511001,104.91699372792
2015-09-30,105.61454178374723,0.1586423386127791,0.0,0.0,-0.7078945999308011,0.81,102.81812154419774,1.0,0.025167391600531663,294.8909363802335,114.94069705419446,104.91699372792,0.8561903944400058,0.0,108.16859320344,0.7330619915313327,279.62247912213763,108.16859320344,105.77318412236001
2015-10-01,105.72407095560322,-0.3068311545232234,0.0,0.0,-0.03255100246543008,0.91,99.87593988842477,1.0,0.0941453573860542,294.9850817376195,110.02321051417935,105.77318412236001,-0.3559443212800062,0.0,104.91699372792,0.12669635985148428,279.74917548198914,104.91699372792,105.41723980108
2015-10-02,105.45370030579556,,0.0,0.0,,0.88,101.2545486946473,1.0,,,110.7281736555722,105.41723980108,,,105.77318412236001,,,105.77318412236001,
