date,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,MAN,MAN_acf,MAN_alpha,MAN_beta,MAN_ese,MAN_gamma,MAN_lower,MAN_m,MAN_sqe,MAN_sse,MAN_upper,adj_close
2016-01-04,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,101.78376337716999
2016-01-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,99.233130863492
2016-01-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,97.29117201785299
2016-01-07,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.185040130307
2016-01-08,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.677775956812
2016-01-11,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,95.194629383506
2016-01-12,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,96.57622199508002
2016-01-13,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,94.093219888964
2016-01-14,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,96.151116576134
2016-01-15,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.842021232314
2016-01-19,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.38793135298599
2016-01-20,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.513530681311
2016-01-21,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,93.04011782839399
2016-01-22,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,97.986799067037
2016-01-25,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,96.07382468178001
2016-01-26,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,96.605206455463
2016-01-27,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,90.257609631657
2016-01-28,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,90.90492924687
2016-01-29,90.90492924687,3.139983208122999,0.0,90.257609631657,9.8594945472944,9.8594945472944,90.257609631657,90.44314306088955,3.6017693941034423,0.9,0.1,3.113248221005879,0.0,-676.5107133058959,0.0,12.972742768300279,12.972742768300279,857.406219466973,94.044912454993
2016-02-01,94.044912454993,-0.8791952982739986,0.0,90.90492924687,0.7729843725071053,10.632478919801505,90.90492924687,93.81839071854174,-0.6526735618227377,0.9,0.07,-0.34700159420472626,0.0,-686.0456983324538,0.0,0.425982778302379,13.398725546602657,867.5761383343146,93.165717156719
2016-02-02,93.165717156719,-1.8839899248749958,0.0,94.044912454993,3.5494180370304926,14.181896956831999,94.044912454993,92.6388997349723,-1.3571725031282966,0.5,0.09,-1.7075008337829662,0.0,-660.2461066594292,0.0,1.8419172032475264,15.240642749850183,845.3115454854917,91.281727231844
2016-02-03,91.281727231844,1.806698030520991,0.0,93.165717156719,3.2641577734884275,17.446054730320427,93.165717156719,91.37385184124476,1.7145734211202353,0.30000000000000004,0.11,-0.3243957570764797,0.0,-602.3213524927165,0.0,2.939762016411948,18.180404766262132,786.6117437075138,93.08842526236499
2016-02-04,93.08842526236499,0.7439344831550017,0.0,91.281727231844,0.5534385152270994,17.999493245547526,91.281727231844,92.43049205431639,1.4018676912036057,0.6000000000000001,0.09,1.4117945084134282,0.0,-612.7982989123634,0.0,1.9652330236405278,20.14563778990266,796.2326160793132,93.83235974552
2016-02-05,93.83235974552,-2.506081657799996,0.0,93.08842526236499,6.280445275561576,24.279938521109102,93.08842526236499,93.27998589197878,-1.9537078042587837,0.6000000000000001,0.09,-2.463471091139898,0.0,-618.9498796171379,0.0,3.8169741844216776,23.96261197432434,803.7905887817274,91.32627808772
2016-02-08,91.32627808772,0.961635984970016,0.0,93.83235974552,0.9247437675892528,25.204682288698354,93.83235974552,91.95380099652496,0.33411307616505326,0.5,0.09,-0.8131122199247781,0.0,-633.8965021243748,0.0,0.11163154766447468,24.074243521988812,819.8256888980293,92.28791407269001
2016-02-09,92.28791407269001,-0.01942698959501854,0.0,91.32627808772,0.0003774079247249586,25.205059696623078,91.32627808772,91.85764024691625,0.41084683617874873,0.4,0.11,0.16841771487336263,0.0,-605.9988383811435,0.0,0.1687951227980876,24.2430386447869,789.6826132755366,92.268487083095
2016-02-10,92.268487083095,-0.6993716254330025,0.0,92.28791407269001,0.4891206704607999,25.694180367083877,92.28791407269001,91.98379923895423,-0.41468378129223993,0.5,0.1,-0.31715803199396964,0.0,-608.2484704774234,0.0,0.17196263846683027,24.41500128325373,792.1676320361631,91.569115457662
2016-02-11,91.569115457662,-0.5536692034669954,0.0,92.268487083095,0.3065495868677772,26.000729953951655,92.268487083095,91.60851039673351,-0.593064142538509,0.5,0.11,0.045175490297159726,0.0,-575.830642979186,0.0,0.35172507716493695,24.766726360418666,759.8185060052025,91.015446254195
2016-02-12,91.015446254195,0.28169134913200367,0.0,91.569115457662,0.07935001617580838,26.080079970127464,91.569115457662,91.083180232953,0.21395737037400409,0.6000000000000001,0.1,-0.033572259838449615,0.0,-577.9160610409419,0.0,0.04577775633735876,24.812504116756024,761.2505965069646,91.297137603327
2016-02-16,91.297137603327,2.574076121383996,0.0,91.015446254195,6.625867878679276,32.705947848806744,91.015446254195,91.11293914176512,2.758274582945873,0.7000000000000001,0.1,0.982210796245953,0.0,-579.7823559186879,0.0,7.608078674925229,32.420582791681255,761.9413612094306,93.871213724711
2016-02-17,93.871213724711,1.4375972300550046,0.0,91.297137603327,2.066685795861822,34.772633644668566,91.297137603327,93.64825693088896,1.6605540238770402,0.8,0.07,0.6907538703524079,0.0,-615.2151208791956,0.0,2.7574396662142298,35.17802245789549,798.0068588859128,95.308810954766
2016-02-18,95.308810954766,-1.8067100323669933,0.0,93.871213724711,3.2642011410555423,38.03683478572411,93.871213724711,95.67733855646564,-2.175237634066633,1.0,0.07,1.4674576236042611,0.0,-573.5809025744779,0.0,4.731658764659803,39.90968122255529,761.8994500144314,93.50210092239901
2016-02-19,93.50210092239901,-0.21369688554901245,0.0,95.308810954766,0.045666358893347726,38.08250114461746,95.308810954766,94.09047678447747,-0.8020727476274772,0.8,0.08,0.597654333593343,0.0,-576.1735919850074,0.0,0.6433206924866907,40.55300191504198,766.8403004052259,93.28840403685
2016-02-22,93.28840403685,0.8159335630050037,0.0,93.50210092239901,0.6657475792380404,38.748248723855504,93.50210092239901,93.69943933943024,0.4048982604247584,0.7000000000000001,0.09,-0.5018049779430449,0.0,-567.7569664329505,0.0,0.16394260129499547,40.71694451633698,756.1342500487003,94.104337599855
2016-02-23,94.104337599855,-2.1272553606900004,0.0,93.28840403685,4.525215369584344,43.27346409343985,93.28840403685,94.30306678255289,-2.3259845433878894,0.8,0.1,0.8849887264950249,0.0,-360.3931202057694,0.0,5.410204096079369,46.12714861241635,547.8263795636016,91.977082239165
