date,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,MAN,MAN_acf,MAN_alpha,MAN_beta,MAN_ese,MAN_gamma,MAN_lower,MAN_m,MAN_sqe,MAN_sse,MAN_upper,adj_close
2016-01-04,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,101.78376337716999
2016-01-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,99.233130863492
2016-01-06,99.233130863492,-1.9419588456390073,0.0,101.78376337716999,3.771204158155586,3.771204158155586,101.78376337716999,103.78376337716999,-6.492591359317004,0.0,0.0,38.382538400922236,0.0,-992.0499565458887,0.0,42.15374255907782,42.15374255907782,1197.6174833002333,97.29117201785299
2016-01-07,97.29117201785299,-4.106131887545985,0.0,99.233130863492,16.86031907792195,20.631523236077538,99.233130863492,101.233130863492,-8.048090733184992,0.0,0.0,47.91144537165619,0.0,-784.4053226145406,0.0,64.77176444957814,106.92550700865596,984.8715843415282,93.185040130307
2016-01-08,93.185040130307,0.4927358265049975,0.0,97.29117201785299,0.24278859472156297,20.8743118307991,97.29117201785299,99.29117201785299,-5.613396061040987,0.0,0.0,31.267426743388906,0.0,-1407.360344017131,0.0,31.51021533811047,138.43572234676643,1603.9426880528429,93.677775956812
2016-01-11,93.677775956812,1.5168534266939986,0.0,93.185040130307,2.3008443180733256,23.175156148872425,93.185040130307,95.185040130307,0.009589253198996062,0.0,0.0,-2.300752364296411,0.0,-49.14395026894614,0.0,9.19537769144562e-05,138.43581430054334,237.51403052956073,95.194629383506
2016-01-12,95.194629383506,1.3815926115740211,0.0,93.677775956812,1.908798144355924,25.08395429322835,93.677775956812,95.677775956812,0.8984460382680197,0.0,0.0,-1.101592860676424,0.0,-52.12469699700908,0.0,0.8072052836795,139.24301958422285,241.4802489106337,96.57622199508002
2016-01-13,96.57622199508002,-2.483002106116018,0.0,95.194629383506,6.165299458976582,31.24925375220493,95.194629383506,97.194629383506,-3.101409494541997,0.0,0.0,3.4534413938586628,0.0,-13.926005621521057,0.0,9.618740852835245,148.86176043705808,206.3152643885335,94.093219888964
2016-01-14,94.093219888964,2.0578966871700004,0.0,96.57622199508002,4.234938775065262,35.48419252727019,96.57622199508002,98.57622199508002,-2.4251054189460177,0.0,0.0,1.646197517936078,0.0,-921.9905189339362,0.0,5.88113629300134,154.7428967300594,1117.1429629241004,96.151116576134
2016-01-15,96.151116576134,-2.3090953438200046,0.0,94.093219888964,5.331921306851225,40.81611383412141,94.093219888964,96.093219888964,-2.251198656650004,0.0,0.0,-0.26402591514844165,0.0,-206.70087248314317,0.0,5.067895391702783,159.8107921217622,396.88731226107245,93.842021232314
2016-01-19,93.842021232314,-0.45408987932800926,0.0,96.151116576134,0.206197618508126,41.02231145262954,96.151116576134,98.151116576134,-4.763185223148014,0.0,0.0,22.481735851507466,0.0,-867.2884095120605,0.0,22.687933470015594,182.4987255917778,1061.5906426643326,93.38793135298599
2016-01-20,93.38793135298599,0.1255993283250092,0.0,93.842021232314,0.01577519127569346,41.03808664390523,93.842021232314,95.842021232314,-2.328490551003,0.0,0.0,5.406093054834561,0.0,-318.88127548524506,0.0,5.421868246110255,187.92059383788805,508.5653179498747,93.513530681311
2016-01-21,93.513530681311,-0.47341285291700785,0.0,93.38793135298599,0.2241197293070205,41.26220637321225,93.38793135298599,95.38793135298599,-2.3478135245919987,0.0,0.0,5.288108616950083,0.0,-153.20878150797222,0.0,5.512228346257103,193.43282218414515,341.9846442139452,93.04011782839399
2016-01-22,93.04011782839399,4.946681238643009,0.0,93.513530681311,24.469655276742735,65.731861649955,93.513530681311,95.513530681311,2.4732683857260014,0.0,0.0,-18.352598768911033,0.0,-323.2556180224401,0.0,6.117056507831701,199.54987869197686,512.2826793850638,97.986799067037
2016-01-25,97.986799067037,-1.9129743852569874,0.0,93.04011782839399,3.6594709986493488,69.39133264860435,93.04011782839399,95.04011782839399,1.0337068533860219,0.0,0.0,-2.590921139912118,0.0,-1019.3904492363165,0.0,1.0685498587372304,200.6184285507141,1207.470684893109,96.07382468178001
2016-01-26,96.07382468178001,0.5313817736829947,0.0,97.986799067037,0.2823665894024854,69.67369923800683,97.986799067037,99.986799067037,-3.3815926115739927,0.0,0.0,11.15280200124933,0.0,-766.0445973533576,0.0,11.435168590651816,212.0535971413659,964.0181954874352,96.605206455463
2016-01-27,96.605206455463,-6.3475968238060005,0.0,96.07382468178001,40.291985437592025,109.96568467559885,96.07382468178001,98.07382468178001,-7.816215050123006,0.0,0.0,20.80123227217736,0.0,-39.39681933588257,0.0,61.093217709769384,273.1468148511353,233.54446869944314,90.257609631657
2016-01-28,90.257609631657,0.647319615212993,0.0,96.605206455463,0.4190226842394973,110.38470735983834,96.605206455463,98.605206455463,-7.700277208593008,0.0,0.0,58.87524640493742,0.0,-2053.8694083637256,0.0,59.29426908917692,332.4410839403122,2249.0798212746604,90.90492924687
2016-01-29,90.90492924687,3.139983208122999,0.0,90.257609631657,9.8594945472944,120.24420190713275,90.257609631657,92.257609631657,1.7873028233359918,0.0,0.0,-6.6650431649895925,0.0,-5.295956522724836,0.0,3.1944513823048073,335.635535322617,187.81117578603926,94.044912454993
2016-02-01,94.044912454993,-0.8791952982739986,0.0,90.90492924687,0.7729843725071053,121.01718627963986,90.90492924687,92.90492924687,0.26078790984900024,0.0,0.0,-0.704974038583695,0.0,-498.11556178904857,0.0,0.06801033392341028,335.70354565654037,681.9254202827909,93.165717156719
2016-02-02,93.165717156719,-1.8839899248749958,0.0,94.044912454993,3.5494180370304926,124.56660431667035,94.044912454993,96.044912454993,-4.763185223148994,0.0,0.0,19.138515432994442,0.0,-440.7748360897242,0.0,22.687933470024934,358.3914791265653,630.8646609997123,91.281727231844
2016-02-03,91.281727231844,1.806698030520991,0.0,93.165717156719,3.2641577734884275,127.83076209015877,93.165717156719,95.165717156719,-2.077291894354005,0.0,0.0,1.0509838408604222,0.0,-720.5469733290075,0.0,4.31514161434885,362.70662074091416,908.8784076424488,93.08842526236499
2016-02-04,93.08842526236499,0.7439344831550017,0.0,91.281727231844,0.5534385152270994,128.38420060538587,91.281727231844,93.281727231844,0.5506325136759926,0.0,0.0,-0.2502423501099572,0.0,-131.0470228577673,0.0,0.3031961651171422,363.0098169060313,315.61047732145624,93.83235974552
2016-02-05,93.83235974552,-2.506081657799996,0.0,93.08842526236499,6.280445275561576,134.66464588094743,93.08842526236499,95.08842526236499,-3.762147174644994,0.0,0.0,7.873306088127736,0.0,21.810575840770923,0.0,14.153751363689311,377.1635682697206,166.36627468395938,91.32627808772
2016-02-08,91.32627808772,0.961635984970016,0.0,93.83235974552,0.9247437675892528,135.5893896485367,93.83235974552,95.83235974552,-3.54444567282998,0.0,0.0,11.638351360053916,0.0,-902.6299817674723,0.0,12.563095127643168,389.7266633973638,1092.2947012585164,92.28791407269001
