date,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,MAN,MAN_acf,MAN_alpha,MAN_beta,MAN_ese,MAN_gamma,MAN_lower,MAN_m,MAN_sqe,MAN_sse,MAN_upper,adj_close
2015-04-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,121.45711985836999
2015-04-07,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.17912582138001
2015-04-08,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,119.78809779514
2015-04-09,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.70367561268
2015-04-10,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,121.21868813504999
2015-04-13,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.98025641173
2015-04-14,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.45570662043
2015-04-15,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.9134955292
2015-04-16,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,120.33172212431002
2015-04-17,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,118.97742993586
2015-04-20,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,121.69555158168998
2015-04-21,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,121.03748002533001
2015-04-22,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,122.66835301283001
2015-04-23,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,123.66976625076
2015-04-24,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,124.25153965566003
2015-04-27,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,126.51187239272
2015-04-28,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,124.51858318578002
2015-04-29,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,122.68742755068999
2015-04-30,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,119.35892069316999
2015-05-01,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,122.98308288761001
2015-05-04,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,122.74465116428999
2015-05-05,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,119.97884317379
2015-05-06,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,119.22539892811001
2015-05-07,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,119.95976863593
2015-05-08,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,122.21990797793998
2015-05-11,122.21990797793998,-1.2449920104299679,0.0,119.95976863593,1.5500051060344533,1.5500051060344533,119.95976863593,122.40728267653101,-1.4323667090209966,1.0,0.08,0.5016692830771872,0.0,-535.8447131596407,0.0,2.0516743891116405,2.0516743891116405,775.7785190211345,120.97491596751001
2015-05-12,120.97491596751001,-0.43574720364999564,0.0,122.21990797793998,0.18987562548879078,1.739880731523244,122.21990797793998,121.12435602803592,-0.5851872641759002,0.9,0.09,0.15256850866488397,0.0,-536.3744363038646,0.0,0.34244413415367475,2.3941185232653153,780.606644506,120.53916876386002
2015-05-13,120.53916876386002,0.1388644934699812,0.0,120.97491596751001,0.01928334754667445,1.7591640790699186,120.97491596751001,120.59273936579744,0.08529389153255806,0.9,0.09,-0.012008299613906672,0.0,-531.3193200447807,0.0,0.00727504793276778,2.401393571198083,773.5956209263569,120.67803325733
2015-05-14,120.67803325733,2.8155973158999927,0.0,120.53916876386002,7.927588245303244,9.686752324373161,120.53916876386002,120.67160516201298,2.8220254112170124,0.9,0.09,0.03623917625130435,0.0,-529.3121466074591,0.0,7.963827421554548,10.365220992752631,770.4992997185922,123.49363057322999
2015-05-15,123.49363057322999,-0.17238350913000033,0.0,120.67803325733,0.02971607421997291,9.716468398593134,120.67803325733,123.48061760046971,-0.1593705363697211,0.9,0.08,-0.004317106357200316,0.0,-562.7269326276435,0.0,0.025398967862772594,10.390619960615403,804.1611602861924,123.32124706409999
